Rank,Player,Position,Team,Value,PositionRank,Age,Kept,Traded,Cut
361,"Damien Martinez",RB,GBP,1204,100,22.2,4270,4598,3565
362,"Gabriel Davis",WR,BUF,1192,147,27,37587,38453,38478
363,"Tyler Goodson",RB,ATL,1192,101,25.4,5427,5247,5936
364,"Kenny Pickett",QB,CAR,1187,59,27.8,36984,37259,30989
365,"Jake Bobo",WR,SEA,1179,148,27.7,9231,9031,9097
366,"Zach Wilson",QB,NOS,1172,60,26.7,37732,37963,29392
367,"Kameron Johnson",WR,TBB,1171,149,24.1,1476,1110,963
368,"Tyrell Shavers",WR,BUF,1155,150,26.6,1856,1494,1663
369,"Kalel Mullings",RB,TEN,1154,102,23.5,2706,2363,2321
370,"Darren Waller",TE,MIA,1151,58,33.6,32264,33157,38809
371,"Jonathan Mingo",WR,DAL,1146,151,25,21233,21121,18607
372,"Sam Howell",QB,DAL,1138,61,25.6,31118,31896,25616
373,"Dameon Pierce",RB,PHI,1131,103,26.1,33080,33380,32862
374,"Kareem Hunt",RB,KCC,1129,104,30.7,32762,34027,38910
375,"Demond Claiborne",RB,FA,1121,105,-1,206,487,135
376,"Bo Melton",WR,GBP,1114,152,26.2,8335,8187,8759
377,"Chris Brooks",RB,GBP,1114,106,26.2,7037,6768,6414
378,"Javon Baker",WR,SFO,1109,153,24.1,12218,12189,9644
379,"Joe Flacco",QB,CIN,1103,62,41.2,16317,16293,14275
380,"Jacob Cowing",WR,SFO,1102,154,25.2,9394,9490,7657
381,"Jordan Watkins",WR,SFO,1100,155,24.1,2563,2227,1926
382,"Mitchell Evans",TE,CAR,1092,59,23.1,1063,722,662
383,"Donovan Edwards",RB,MIA,1080,107,23.1,3140,2967,2519
384,"Lil'Jordan Humphrey",WR,DEN,1078,156,28,10412,10374,10238
385,"Sione Vaki",RB,DET,1069,108,24.7,6638,6434,5380
386,"Davis Allen",TE,LAR,1062,60,25.2,7401,7224,7352
387,"Arian Smith",WR,NYJ,1060,157,24.5,3003,2691,2259
388,"Brevin Jordan",TE,HOU,1053,61,25.7,19940,20217,20255
389,"Jared Wiley",TE,KCC,1049,62,25.4,7931,7855,6232
390,"Charlie Kolar",TE,LAC,1046,63,27.2,7648,7511,7306
391,"Skyy Moore",WR,GBP,1044,158,25.6,27238,27667,24590
392,"Tyler Badie",RB,DEN,1041,109,26.2,11659,11857,11955
393,"Le'Veon Moss",RB,FA,1038,110,-1,148,305,166
394,"Drew Lock",QB,SEA,1035,63,29.4,20752,21017,16699
395,"Ted Hurst",WR,FA,1035,159,-1,168,498,123
396,"Zach Ertz",TE,WAS,1029,64,35.4,26497,26959,31390
397,"Hassan Haskins",RB,LAC,1023,111,26.4,15185,15478,15467
398,"Cade Klubnik",QB,FA,1020,64,-1,228,223,100
399,"Isaiah Hodgins",WR,NYG,1016,160,27.5,14870,14502,15294
400,"Mason Tipton",WR,NOS,1006,161,25.5,4671,4493,3958
401,"Jam Miller",RB,FA,999,112,-1,122,299,123
402,"Brock Wright",TE,DET,998,65,27.4,9460,9196,10529
403,"J'Mari Taylor",RB,FA,993,113,-1,121,285,138
404,"Aidan O'Connell",QB,LVR,984,65,27.6,17459,17332,15116
405,"Jawhar Jordan",RB,HOU,970,114,26.6,1985,1769,1508
406,"Mason Rudolph",QB,PIT,965,66,30.7,11604,11544,9638
407,"Cam Akers",RB,SEA,964,115,26.8,41247,43059,38604
408,"Deuce Vaughn",RB,DEN,964,116,24.4,14079,14226,13687
409,"Elijah Mitchell",RB,NEP,963,117,27.9,33425,34779,36870
410,"Israel Abanikanda",RB,DAL,962,118,23.5,16002,16271,14264
411,"Tyler Johnson",WR,NYJ,956,162,27.6,13696,13978,15305
412,"Nick Westbrook-Ikhine",WR,IND,955,163,29,14628,14579,16911
413,"Seth McGowan",RB,FA,953,119,-1,105,355,128
414,"Tyler Scott",WR,LAR,938,164,24.5,10796,10582,9786
415,"Jamari Thrash",WR,CLE,936,165,25.3,6895,6783,6077
416,"Nick Chubb",RB,HOU,935,120,30.3,47149,50470,53554
417,"Deion Burks",WR,FA,934,166,-1,146,364,139
418,"Frank Gore Jr.",RB,BUF,933,121,24.1,8202,8061,6928
419,"Xavier Gipson",WR,NYG,931,167,25.1,8464,8360,8610
420,"Ty Chandler",RB,NOS,930,122,27.9,18531,18365,18520
421,"Samaje Perine",RB,CIN,918,123,30.6,17265,17389,20424
422,"Demarcus Robinson",WR,SFO,917,168,31.6,14496,14597,14039
423,"Bub Means",WR,NOS,916,169,25.2,7017,6851,5730
424,"CJ Daniels",WR,FA,913,170,-1,94,339,147
425,"Jeremy Ruckert",TE,NYJ,901,66,25.7,12457,12556,12211
426,"Grant Calcaterra",TE,PHI,894,67,27.3,3265,2989,3345
427,"Terrell Jennings",RB,NEP,889,124,25.1,1514,1245,1261
428,"Jack Endries",TE,FA,882,68,-1,107,483,98
429,"Jeremy McNichols",RB,WAS,880,125,30.3,5106,4998,5701
